Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1108372,REDACTED PERSONAL DATA,4723498,490619,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108400,REDACTED PERSONAL DATA,4723499,490775,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108401,REDACTED PERSONAL DATA,4723500,490656,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108495,REDACTED PERSONAL DATA,4723501,490599,01/07/2022,690.86,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1108534,REDACTED PERSONAL DATA,4723502,490488,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108593,REDACTED PERSONAL DATA,4723503,490563,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108795,REDACTED PERSONAL DATA,4723504,490624,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108918,REDACTED PERSONAL DATA,4723505,490639,01/07/2022,1359.57,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1108922,REDACTED PERSONAL DATA,4723506,490577,01/07/2022,1492.42,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108922,REDACTED PERSONAL DATA,4723507,490924,01/07/2022,1359.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108922,REDACTED PERSONAL DATA,4723508,490745,01/07/2022,1868.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108938,REDACTED PERSONAL DATA,4723509,490777,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1108938,REDACTED PERSONAL DATA,4723510,490625,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1109172,REDACTED PERSONAL DATA,4723511,490620,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1109393,REDACTED PERSONAL DATA,4723512,490497,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1109552,REDACTED PERSONAL DATA,4723513,490511,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1109552,REDACTED PERSONAL DATA,4723514,490637,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1109751,REDACTED PERSONAL DATA,4723515,490626,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1109751,REDACTED PERSONAL DATA,4723516,490849,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110206,REDACTED PERSONAL DATA,4723517,490819,01/07/2022,783.86,0,JBR,Lac - Placements,4814,Adoption Allowances,Children'S Services
Blackpool Council,1110334,REDACTED PERSONAL DATA,4723518,490847,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110547,REDACTED PERSONAL DATA,4723519,490872,01/07/2022,2001.71,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110684,REDACTED PERSONAL DATA,4723520,490554,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110718,REDACTED PERSONAL DATA,4723521,490560,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110769,REDACTED PERSONAL DATA,4723522,490555,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110785,REDACTED PERSONAL DATA,4723523,490442,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110785,REDACTED PERSONAL DATA,4723524,490621,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110785,REDACTED PERSONAL DATA,4723525,490559,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110785,REDACTED PERSONAL DATA,4723526,490558,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110848,REDACTED PERSONAL DATA,4723527,490645,01/07/2022,1492.42,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110958,REDACTED PERSONAL DATA,4723528,490837,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110959,REDACTED PERSONAL DATA,4723529,490647,01/07/2022,1266.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110959,REDACTED PERSONAL DATA,4723530,490794,01/07/2022,1266.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1110959,REDACTED PERSONAL DATA,4723531,490863,01/07/2022,1266.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111111,REDACTED PERSONAL DATA,4723532,490556,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111111,REDACTED PERSONAL DATA,4723533,490498,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111111,REDACTED PERSONAL DATA,4723534,490557,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111143,REDACTED PERSONAL DATA,4723535,490717,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111194,REDACTED PERSONAL DATA,4723536,490729,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111194,REDACTED PERSONAL DATA,4723537,490455,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111194,REDACTED PERSONAL DATA,4723538,490876,01/07/2022,1182.42,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111443,REDACTED PERSONAL DATA,4723539,490900,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111443,REDACTED PERSONAL DATA,4723540,490901,01/07/2022,783.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111656,REDACTED PERSONAL DATA,4723541,490912,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111672,REDACTED PERSONAL DATA,4723542,490774,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111679,REDACTED PERSONAL DATA,4723543,490464,01/07/2022,1594.15,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111679,REDACTED PERSONAL DATA,4723544,490676,01/07/2022,1032.3,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111725,REDACTED PERSONAL DATA,4723545,490654,01/07/2022,1775.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111725,REDACTED PERSONAL DATA,4723546,490933,01/07/2022,1775.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111745,REDACTED PERSONAL DATA,4723547,490666,01/07/2022,1359.57,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
Blackpool Council,1111913,REDACTED PERSONAL DATA,4723548,490545,01/07/2022,690.86,0,JEA,Senior Management,4809,Special Guardianship,Children'S Services
