Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1108148,Qualia Care Ltd T/A Gilwood Lodge,4768376,511361,21/09/2022,5628.96,0,MFCBC,Nursing Placements,4506,Nursing Homes,Adult & Families
Blackpool Council,1108309,Samkar Ltd T/A Bridgeway Care Home,4768377,511869,21/09/2022,4919.17,0,MHABD,Direct Payments,7583,Indep Sect Nursing Homes,Adult & Families
Blackpool Council,1108309,Samkar Ltd T/A Bridgeway Care Home,4768377,511869,21/09/2022,4544,0,MHABD,Direct Payments,4505,Residential Homes,Adult & Families
Blackpool Council,1108309,Samkar Ltd T/A Bridgeway Care Home,4768378,510999,21/09/2022,1629.96,0,MHABD,Direct Payments,4505,Residential Homes,Adult & Families
Blackpool Council,1109688,Nanda Swamy T/A Laurieston House,4768381,510949,21/09/2022,1309.84,0,MVA,18-64,4505,Residential Homes,Adult & Families
Blackpool Council,1109701,Langland Care Limited,4768382,510936,21/09/2022,1456,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768383,511266,21/09/2022,1143.66,0,MFCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768385,511271I,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768386,511298,21/09/2022,1038.66,0,MFCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768388,511303I,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768390,511071I,21/09/2022,1143.66,0,MGCBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768391,511081,21/09/2022,1038.66,0,MSABD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768392,511082,21/09/2022,1143.66,0,MVDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768393,511114,21/09/2022,1143.66,0,MGDBD,Residential Placements,4505,Residential Homes,Adult & Families
Blackpool Council,1109958,Arc Community Care Ltd,4768394,511161,21/09/2022,1038.66,0,MVBBD,Residential Placements,4505,Residential Homes,Adult & Families
